pops	Estimate	Std.Error	t_value	p_value	Qj	Qjpval	Qdf	outcome
All	0.0720257	0.0150051	4.8000755	0.0000018	12.0890451	0.0167012	4	Stroke
AFR	0.2851627	0.0825740	3.4534175	0.0005714	6.6623928	0.0098469	1	Stroke
AMR	0.3016311	0.2048585	1.4723873	0.1411595	1.2561917	0.2623732	1	Stroke
EAS	0.0220947	0.0272260	0.8115287	0.4172114	3.3633538	0.0666622	1	Stroke
EUR	0.0810701	0.0185124	4.3792266	0.0000129	0.2386878	0.6251555	1	Stroke
SAS	0.2061059	0.1778404	1.1589378	0.2466954	0.5684189	0.4508879	1	Stroke
All	0.0856340	0.0167721	5.1057344	0.0000004	9.3349997	0.0532503	4	Ischemic stroke
AFR	0.2086731	0.1258097	1.6586404	0.0974412	0.9564405	0.3280853	1	Ischemic stroke
AMR	0.2337478	0.2305580	1.0138351	0.3108592	0.4126965	0.5206041	1	Ischemic stroke
EAS	0.0049639	0.0327862	0.1514030	0.8796825	6.0539909	0.0138749	1	Ischemic stroke
EUR	0.1096322	0.0199022	5.5085429	0.0000000	1.4539727	0.2278916	1	Ischemic stroke
SAS	0.2030467	0.1735122	1.1702152	0.2421392	0.4578991	0.4986075	1	Ischemic stroke
All	0.0250782	0.0397828	0.6303769	0.5285717	0.5966202	0.9634385	4	Cardioembolic stroke
AFR	0.1480053	0.2296158	0.6445781	0.5193280	0.2866105	0.5924009	1	Cardioembolic stroke
AMR	0.0865823	0.3140965	0.2756551	0.7828621	0.0383427	0.8447567	1	Cardioembolic stroke
EAS	0.0638335	0.1300837	0.4907113	0.6237234	0.0887601	0.7657594	1	Cardioembolic stroke
EUR	0.0120811	0.0439195	0.2750730	0.7833091	0.0875744	0.7672837	1	Cardioembolic stroke
SAS	0.0889410	0.2068368	0.4300058	0.6672712	0.0953325	0.7575044	1	Cardioembolic stroke
All	0.2934340	0.0544439	5.3896586	0.0000001	2.0067492	0.7345174	4	Large artery stroke
AFR	0.4199046	0.3500116	1.1996875	0.2305040	0.1305612	0.7178508	1	Large artery stroke
AMR	-0.1279876	0.3644849	-0.3511464	0.7255418	1.3368248	0.2475947	1	Large artery stroke
EAS	0.3523328	0.1036034	3.4007846	0.0006946	0.3231955	0.5696936	1	Large artery stroke
EUR	0.2862323	0.0687208	4.1651443	0.0000334	0.0109824	0.9165371	1	Large artery stroke
SAS	0.1808495	0.2485452	0.7276324	0.4669845	0.2051854	0.6505675	1	Large artery stroke
All	0.0064249	0.0414281	0.1550855	0.8767807	5.0546004	0.2817409	4	Small vessel stroke
AFR	-0.0181328	0.2246164	-0.0807279	0.9356722	0.0119534	0.9129394	1	Small vessel stroke
AMR	-0.0613571	0.3474814	-0.1765765	0.8598717	0.0380509	0.8453409	1	Small vessel stroke
EAS	-0.0734902	0.0560359	-1.3114851	0.1899519	2.0338810	0.1538274	1	Small vessel stroke
EUR	0.1193666	0.0672728	1.7743657	0.0762634	2.8185730	0.0931792	1	Small vessel stroke
SAS	0.1050485	0.2528460	0.4154643	0.6778784	0.1521421	0.6964966	1	Small vessel stroke
